depth_m,pressure_psi,pressure_kpa,event_volume_m3,choke_area_m2,flow_m3_s,velocity_m_s,reset_time_s,reset_time_min,status
30.0,42.68460621400281,294.3,1.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,1.0,0.0005,0.2171106860566748,434.2213721133496,4.60594555782924,0.076765759297154,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.001,0.4342213721133496,434.2213721133496,2.30297277891462,0.038382879648577,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.0025,1.085553430283374,434.2213721133496,0.9211891115658479,0.015353151859430798,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.005,2.171106860566748,434.2213721133496,0.46059455578292396,0.007676575929715399,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.01,4.342213721133496,434.2213721133496,0.23029727789146198,0.0038382879648576995,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.02,8.684427442266992,434.2213721133496,0.11514863894573099,0.0019191439824288498,controlled_reset
30.0,42.68460621400281,294.3,1.0,0.05,21.71106860566748,434.2213721133496,0.0460594555782924,0.00076765759297154,overviolent
30.0,42.68460621400281,294.3,1.0,0.1,43.42213721133496,434.2213721133496,0.0230297277891462,0.00038382879648577,overviolent
30.0,42.68460621400281,294.3,1.0,0.25,108.5553430283374,434.2213721133496,0.00921189111565848,0.00015353151859430798,overviolent
30.0,42.68460621400281,294.3,1.0,0.5,217.1106860566748,434.2213721133496,0.00460594555782924,7.676575929715399e-05,overviolent
30.0,42.68460621400281,294.3,1.0,0.79,343.0348839695462,434.22137211334956,0.0029151554163476204,4.8585923605793676e-05,overviolent
30.0,42.68460621400281,294.3,1.0,1.26,547.1189288628206,434.2213721133496,0.0018277561737417617,3.0462602895696028e-05,overviolent
30.0,42.68460621400281,294.3,5.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,5.0,0.0005,0.2171106860566748,434.2213721133496,23.0297277891462,0.38382879648577,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.001,0.4342213721133496,434.2213721133496,11.5148638945731,0.191914398242885,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.0025,1.085553430283374,434.2213721133496,4.60594555782924,0.076765759297154,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.005,2.171106860566748,434.2213721133496,2.30297277891462,0.038382879648577,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.01,4.342213721133496,434.2213721133496,1.15148638945731,0.0191914398242885,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.02,8.684427442266992,434.2213721133496,0.575743194728655,0.00959571991214425,controlled_reset
30.0,42.68460621400281,294.3,5.0,0.05,21.71106860566748,434.2213721133496,0.23029727789146198,0.0038382879648576995,overviolent
30.0,42.68460621400281,294.3,5.0,0.1,43.42213721133496,434.2213721133496,0.11514863894573099,0.0019191439824288498,overviolent
30.0,42.68460621400281,294.3,5.0,0.25,108.5553430283374,434.2213721133496,0.0460594555782924,0.00076765759297154,overviolent
30.0,42.68460621400281,294.3,5.0,0.5,217.1106860566748,434.2213721133496,0.0230297277891462,0.00038382879648577,overviolent
30.0,42.68460621400281,294.3,5.0,0.79,343.0348839695462,434.22137211334956,0.014575777081738102,0.00024292961802896838,overviolent
30.0,42.68460621400281,294.3,5.0,1.26,547.1189288628206,434.2213721133496,0.009138780868708809,0.00015231301447848016,overviolent
30.0,42.68460621400281,294.3,10.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,10.0,0.0005,0.2171106860566748,434.2213721133496,46.0594555782924,0.76765759297154,controlled_reset
30.0,42.68460621400281,294.3,10.0,0.001,0.4342213721133496,434.2213721133496,23.0297277891462,0.38382879648577,controlled_reset
30.0,42.68460621400281,294.3,10.0,0.0025,1.085553430283374,434.2213721133496,9.21189111565848,0.153531518594308,controlled_reset
30.0,42.68460621400281,294.3,10.0,0.005,2.171106860566748,434.2213721133496,4.60594555782924,0.076765759297154,controlled_reset
30.0,42.68460621400281,294.3,10.0,0.01,4.342213721133496,434.2213721133496,2.30297277891462,0.038382879648577,controlled_reset
30.0,42.68460621400281,294.3,10.0,0.02,8.684427442266992,434.2213721133496,1.15148638945731,0.0191914398242885,controlled_reset
30.0,42.68460621400281,294.3,10.0,0.05,21.71106860566748,434.2213721133496,0.46059455578292396,0.007676575929715399,overviolent
30.0,42.68460621400281,294.3,10.0,0.1,43.42213721133496,434.2213721133496,0.23029727789146198,0.0038382879648576995,overviolent
30.0,42.68460621400281,294.3,10.0,0.25,108.5553430283374,434.2213721133496,0.0921189111565848,0.00153531518594308,overviolent
30.0,42.68460621400281,294.3,10.0,0.5,217.1106860566748,434.2213721133496,0.0460594555782924,0.00076765759297154,overviolent
30.0,42.68460621400281,294.3,10.0,0.79,343.0348839695462,434.22137211334956,0.029151554163476204,0.00048585923605793676,overviolent
30.0,42.68460621400281,294.3,10.0,1.26,547.1189288628206,434.2213721133496,0.018277561737417618,0.0003046260289569603,overviolent
30.0,42.68460621400281,294.3,25.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,25.0,0.0005,0.2171106860566748,434.2213721133496,115.148638945731,1.9191439824288499,controlled_reset
30.0,42.68460621400281,294.3,25.0,0.001,0.4342213721133496,434.2213721133496,57.5743194728655,0.9595719912144249,controlled_reset
30.0,42.68460621400281,294.3,25.0,0.0025,1.085553430283374,434.2213721133496,23.0297277891462,0.38382879648577,controlled_reset
30.0,42.68460621400281,294.3,25.0,0.005,2.171106860566748,434.2213721133496,11.5148638945731,0.191914398242885,controlled_reset
30.0,42.68460621400281,294.3,25.0,0.01,4.342213721133496,434.2213721133496,5.75743194728655,0.0959571991214425,controlled_reset
30.0,42.68460621400281,294.3,25.0,0.02,8.684427442266992,434.2213721133496,2.878715973643275,0.04797859956072125,controlled_reset
30.0,42.68460621400281,294.3,25.0,0.05,21.71106860566748,434.2213721133496,1.15148638945731,0.0191914398242885,overviolent
30.0,42.68460621400281,294.3,25.0,0.1,43.42213721133496,434.2213721133496,0.575743194728655,0.00959571991214425,overviolent
30.0,42.68460621400281,294.3,25.0,0.25,108.5553430283374,434.2213721133496,0.23029727789146198,0.0038382879648576995,overviolent
30.0,42.68460621400281,294.3,25.0,0.5,217.1106860566748,434.2213721133496,0.11514863894573099,0.0019191439824288498,overviolent
30.0,42.68460621400281,294.3,25.0,0.79,343.0348839695462,434.22137211334956,0.0728788854086905,0.0012146480901448417,overviolent
30.0,42.68460621400281,294.3,25.0,1.26,547.1189288628206,434.2213721133496,0.04569390434354404,0.0007615650723924006,overviolent
30.0,42.68460621400281,294.3,50.0,0.0,0.0,0.0,inf,inf,sealed_fail
30.0,42.68460621400281,294.3,50.0,0.0005,0.2171106860566748,434.2213721133496,230.297277891462,3.8382879648576997,controlled_reset
30.0,42.68460621400281,294.3,50.0,0.001,0.4342213721133496,434.2213721133496,115.148638945731,1.9191439824288499,controlled_reset
30.0,42.68460621400281,294.3,50.0,0.0025,1.085553430283374,434.2213721133496,46.0594555782924,0.76765759297154,controlled_reset
30.0,42.68460621400281,294.3,50.0,0.005,2.171106860566748,434.2213721133496,23.0297277891462,0.38382879648577,controlled_reset
30.0,42.68460621400281,294.3,50.0,0.01,4.342213721133496,434.2213721133496,11.5148638945731,0.191914398242885,controlled_reset
30.0,42.68460621400281,294.3,50.0,0.02,8.684427442266992,434.2213721133496,5.75743194728655,0.0959571991214425,controlled_reset
30.0,42.68460621400281,294.3,50.0,0.05,21.71106860566748,434.2213721133496,2.30297277891462,0.038382879648577,overviolent
30.0,42.68460621400281,294.3,50.0,0.1,43.42213721133496,434.2213721133496,1.15148638945731,0.0191914398242885,overviolent
30.0,42.68460621400281,294.3,50.0,0.25,108.5553430283374,434.2213721133496,0.46059455578292396,0.007676575929715399,overviolent
30.0,42.68460621400281,294.3,50.0,0.5,217.1106860566748,434.2213721133496,0.23029727789146198,0.0038382879648576995,overviolent
30.0,42.68460621400281,294.3,50.0,0.79,343.0348839695462,434.22137211334956,0.145757770817381,0.0024292961802896834,overviolent
30.0,42.68460621400281,294.3,50.0,1.26,547.1189288628206,434.2213721133496,0.09138780868708808,0.0015231301447848013,overviolent
35.0,49.798707249669945,343.35,1.0,0.0,0.0,0.0,inf,inf,sealed_fail
35.0,49.798707249669945,343.35,1.0,0.0005,0.23450634319779073,469.01268639558145,4.264276975896407,0.07107128293160678,controlled_reset
35.0,49.798707249669945,343.35,1.0,0.001,0.46901268639558147,469.01268639558145,2.1321384879482035,0.03553564146580339,controlled_reset
35.0,49.798707249669945,343.35,1.0,0.0025,1.1725317159889537,469.01268639558145,0.8528553951792813,0.014214256586321356,controlled_reset
35.0,49.798707249669945,343.35,1.0,0.005,2.3450634319779073,469.01268639558145,0.42642769758964066,0.007107128293160678,controlled_reset
35.0,49.798707249669945,343.35,1.0,0.01,4.690126863955815,469.01268639558145,0.21321384879482033,0.003553564146580339,controlled_reset
35.0,49.798707249669945,343.35,1.0,0.02,9.38025372791163,469.01268639558145,0.10660692439741017,0.0017767820732901695,controlled_reset
35.0,49.798707249669945,343.35,1.0,0.05,23.450634319779073,469.01268639558145,0.04264276975896407,0.0007107128293160678,overviolent
35.0,49.798707249669945,343.35,1.0,0.1,46.90126863955815,469.01268639558145,0.021321384879482035,0.0003553564146580339,overviolent
35.0,49.798707249669945,343.35,1.0,0.25,117.25317159889536,469.01268639558145,0.008528553951792814,0.00014214256586321357,overviolent
35.0,49.798707249669945,343.35,1.0,0.5,234.50634319779073,469.01268639558145,0.004264276975896407,7.107128293160678e-05,overviolent
35.0,49.798707249669945,343.35,1.0,0.79,370.52002225250936,469.01268639558145,0.0026989094784154472,4.4981824640257455e-05,overviolent
35.0,49.798707249669945,343.35,1.0,1.26,590.9559848584327,469.01268639558145,0.0016921734031334948,2.8202890052224914e-05,overviolent
35.0,49.798707249669945,343.35,5.0,0.0,0.0,0.0,inf,inf,sealed_fail
35.0,49.798707249669945,343.35,5.0,0.0005,0.23450634319779073,469.01268639558145,21.321384879482036,0.3553564146580339,controlled_reset
35.0,49.798707249669945,343.35,5.0,0.001,0.46901268639558147,469.01268639558145,10.660692439741018,0.17767820732901696,controlled_reset
35.0,49.798707249669945,343.35,5.0,0.0025,1.1725317159889537,469.01268639558145,4.264276975896407,0.07107128293160678,controlled_reset
35.0,49.798707249669945,343.35,5.0,0.005,2.3450634319779073,469.01268639558145,2.1321384879482035,0.03553564146580339,controlled_reset
35.0,49.798707249669945,343.35,5.0,0.01,4.690126863955815,469.01268639558145,1.0660692439741017,0.017767820732901694,controlled_reset
35.0,49.798707249669945,343.35,5.0,0.02,9.38025372791163,469.01268639558145,0.5330346219870509,0.008883910366450847,controlled_reset
35.0,49.798707249669945,343.35,5.0,0.05,23.450634319779073,469.01268639558145,0.21321384879482033,0.003553564146580339,overviolent
35.0,49.798707249669945,343.35,5.0,0.1,46.90126863955815,469.01268639558145,0.10660692439741017,0.0017767820732901695,overviolent
35.0,49.798707249669945,343.35,5.0,0.25,117.25317159889536,469.01268639558145,0.04264276975896407,0.0007107128293160678,overviolent
35.0,49.798707249669945,343.35,5.0,0.5,234.50634319779073,469.01268639558145,0.021321384879482035,0.0003553564146580339,overviolent
35.0,49.798707249669945,343.35,5.0,0.79,370.52002225250936,469.01268639558145,0.013494547392077236,0.00022490912320128728,overviolent
35.0,49.798707249669945,343.35,5.0,1.26,590.9559848584327,469.01268639558145,0.008460867015667475,0.00014101445026112457,overviolent
35.0,49.798707249669945,343.35,10.0,0.0,0.0,0.0,inf,inf,sealed_fail
35.0,49.798707249669945,343.35,10.0,0.0005,0.23450634319779073,469.01268639558145,42.64276975896407,0.7107128293160678,controlled_reset
35.0,49.798707249669945,343.35,10.0,0.001,0.46901268639558147,469.01268639558145,21.321384879482036,0.3553564146580339,controlled_reset
35.0,49.798707249669945,343.35,10.0,0.0025,1.1725317159889537,469.01268639558145,8.528553951792814,0.14214256586321355,controlled_reset
35.0,49.798707249669945,343.35,10.0,0.005,2.3450634319779073,469.01268639558145,4.264276975896407,0.07107128293160678,controlled_reset
35.0,49.798707249669945,343.35,10.0,0.01,4.690126863955815,469.01268639558145,2.1321384879482035,0.03553564146580339,controlled_reset
35.0,49.798707249669945,343.35,10.0,0.02,9.38025372791163,469.01268639558145,1.0660692439741017,0.017767820732901694,controlled_reset
35.0,49.798707249669945,343.35,10.0,0.05,23.450634319779073,469.01268639558145,0.42642769758964066,0.007107128293160678,overviolent
35.0,49.798707249669945,343.35,10.0,0.1,46.90126863955815,469.01268639558145,0.21321384879482033,0.003553564146580339,overviolent
35.0,49.798707249669945,343.35,10.0,0.25,117.25317159889536,469.01268639558145,0.08528553951792814,0.0014214256586321356,overviolent
35.0,49.798707249669945,343.35,10.0,0.5,234.50634319779073,469.01268639558145,0.04264276975896407,0.0007107128293160678,overviolent
35.0,49.798707249669945,343.35,10.0,0.79,370.52002225250936,469.01268639558145,0.026989094784154472,0.00044981824640257455,overviolent
35.0,49.798707249669945,343.35,10.0,1.26,590.9559848584327,469.01268639558145,0.01692173403133495,0.00028202890052224914,overviolent
35.0,49.798707249669945,343.35,25.0,0.0,0.0,0.0,inf,inf,sealed_fail
35.0,49.798707249669945,343.35,25.0,0.0005,0.23450634319779073,469.01268639558145,106.60692439741017,1.7767820732901696,controlled_reset
35.0,49.798707249669945,343.35,25.0,0.001,0.46901268639558147,469.01268639558145,53.303462198705084,0.8883910366450848,controlled_reset
35.0,49.798707249669945,343.35,25.0,0.0025,1.1725317159889537,469.01268639558145,21.321384879482036,0.3553564146580339,controlled_reset
35.0,49.798707249669945,343.35,25.0,0.005,2.3450634319779073,469.01268639558145,10.660692439741018,0.17767820732901696,controlled_reset
35.0,49.798707249669945,343.35,25.0,0.01,4.690126863955815,469.01268639558145,5.330346219870509,0.08883910366450848,controlled_reset
35.0,49.798707249669945,343.35,25.0,0.02,9.38025372791163,469.01268639558145,2.6651731099352545,0.04441955183225424,controlled_reset
35.0,49.798707249669945,343.35,25.0,0.05,23.450634319779073,469.01268639558145,1.0660692439741017,0.017767820732901694,overviolent
35.0,49.798707249669945,343.35,25.0,0.1,46.90126863955815,469.01268639558145,0.5330346219870509,0.008883910366450847,overviolent
35.0,49.798707249669945,343.35,25.0,0.25,117.25317159889536,469.01268639558145,0.21321384879482036,0.0035535641465803394,overviolent
35.0,49.798707249669945,343.35,25.0,0.5,234.50634319779073,469.01268639558145,0.10660692439741018,0.0017767820732901697,overviolent
35.0,49.798707249669945,343.35,25.0,0.79,370.52002225250936,469.01268639558145,0.06747273696038618,0.0011245456160064364,overviolent
35.0,49.798707249669945,343.35,25.0,1.26,590.9559848584327,469.01268639558145,0.04230433507833737,0.0007050722513056229,overviolent
35.0,49.798707249669945,343.35,50.0,0.0,0.0,0.0,inf,inf,sealed_fail
35.0,49.798707249669945,343.35,50.0,0.0005,0.23450634319779073,469.01268639558145,213.21384879482034,3.553564146580339,controlled_reset
35.0,49.798707249669945,343.35,50.0,0.001,0.46901268639558147,469.01268639558145,106.60692439741017,1.7767820732901696,controlled_reset
35.0,49.798707249669945,343.35,50.0,0.0025,1.1725317159889537,469.01268639558145,42.64276975896407,0.7107128293160678,controlled_reset
35.0,49.798707249669945,343.35,50.0,0.005,2.3450634319779073,469.01268639558145,21.321384879482036,0.3553564146580339,controlled_reset
35.0,49.798707249669945,343.35,50.0,0.01,4.690126863955815,469.01268639558145,10.660692439741018,0.17767820732901696,controlled_reset
35.0,49.798707249669945,343.35,50.0,0.02,9.38025372791163,469.01268639558145,5.330346219870509,0.08883910366450848,controlled_reset
35.0,49.798707249669945,343.35,50.0,0.05,23.450634319779073,469.01268639558145,2.1321384879482035,0.03553564146580339,overviolent
35.0,49.798707249669945,343.35,50.0,0.1,46.90126863955815,469.01268639558145,1.0660692439741017,0.017767820732901694,overviolent
35.0,49.798707249669945,343.35,50.0,0.25,117.25317159889536,469.01268639558145,0.4264276975896407,0.007107128293160679,overviolent
35.0,49.798707249669945,343.35,50.0,0.5,234.50634319779073,469.01268639558145,0.21321384879482036,0.0035535641465803394,overviolent
35.0,49.798707249669945,343.35,50.0,0.79,370.52002225250936,469.01268639558145,0.13494547392077236,0.002249091232012873,overviolent
35.0,49.798707249669945,343.35,50.0,1.26,590.9559848584327,469.01268639558145,0.08460867015667474,0.0014101445026112457,overviolent
